Price1,Price2,Price3,Price4,Date
107.17635066932236,112.64534616553715,84.03155903619599,83.42806640965232,2023-03-02
107.17644607594163,112.66243616685259,83.98989828643788,83.42882905256309,2023-03-03
107.1973342105274,112.6526197008471,83.99099424549414,83.42636483236633,2023-03-04
107.16995903795507,112.63121581844732,84.02189649160164,83.39992223268766,2023-03-05
107.14879726594252,112.61770223609517,83.98457341251758,83.41452700919662,2023-03-06
107.20106126272351,112.66816712202278,84.03586033006552,83.43663711888487,2023-03-07
107.16532971289375,112.62261423155863,84.00610187765622,83.40478816405698,2023-03-08
107.18878326525046,112.62850576700124,84.0120554615092,83.44252852667451,2023-03-09
107.18792989052365,112.64998002528856,84.01454950631815,83.43131793497855,2023-03-10
107.19162129554049,112.65271098433989,84.02013147826639,83.41820616579183,2023-03-11
107.18368140754744,112.63728240321437,84.02108278126475,83.42519057960007,2023-03-12
107.15492042014155,112.63797286227465,83.97778728018773,83.42839521225424,2023-03-13
107.15881918845396,112.61873667312793,84.00054617558985,83.41265219367189,2023-03-14
107.16561138232626,112.6142800879855,83.98124748707453,83.41439649456741,2023-03-15
107.19081221304133,112.65584080518417,84.01003587410688,83.44094574010417,2023-03-16
107.14055467869323,112.59935094774009,83.98620392981823,83.40930193880341,2023-03-17
107.18593369796898,112.6250877117711,84.02733242032578,83.42059725293073,2023-03-18
107.15300506835104,112.6479038837873,84.00279544774986,83.42648973512472,2023-03-19
107.18300030778015,112.65958854351183,84.0014836115076,83.40848023051093,2023-03-20
107.1285654376556,112.60920013915865,83.9740758435235,83.40118167902763,2023-03-21
107.20890552935356,112.66289655440902,84.02297173073475,83.44672975886854,2023-03-22
107.19774769383439,112.63767468887045,84.00095125626078,83.4132741916926,2023-03-23
107.20790582080471,112.68727562449581,84.05208466083599,83.43574182475118,2023-03-24
107.17344103813922,112.62929607135453,83.99683065798386,83.41648106161063,2023-03-25
107.1769084860733,112.60719732163912,83.99536235560976,83.42150441251039,2023-03-26
107.15167017465207,112.62086058202654,84.00844452581886,83.41300703998968,2023-03-27
107.18561250324043,112.64177140658578,84.01316164543522,83.44186406411566,2023-03-28
107.15204492994522,112.63006003231193,84.01850700581525,83.4104633970746,2023-03-29
107.17911290171062,112.624987115074,84.01618793262588,83.41616887432401,2023-03-30
107.1637624963091,112.61010384579792,84.00683622667891,83.41503004215203,2023-03-31
107.21243117762755,112.68951987722318,84.03868208931753,83.46097019401614,2023-04-01
107.15145685440325,112.595996135293,83.97830196935755,83.39151490588944,2023-04-02
107.22143215631382,112.67749311649938,84.04480236359029,83.45154794267178,2023-04-03
107.13655184701855,112.60886921619816,83.99276530979328,83.40690473594468,2023-04-04
107.23393043533481,112.6831210935098,84.0683318921607,83.47560426848293,2023-04-05
107.1766991200751,112.64050144344365,84.00990545616526,83.4198907676042,2023-04-06
107.18877223416887,112.67839964333406,84.03823586973694,83.42740246634162,2023-04-07
107.14893859801374,112.6290919169918,83.99445174088476,83.41134327374068,2023-04-08
107.2234591667501,112.70406537600944,84.06208339154375,83.46312706272461,2023-04-09
107.21926496994686,112.68840569874456,84.05441468338908,83.43877019859289,2023-04-10
107.21091181767157,112.69228734884483,84.04047470801225,83.44473250138503,2023-04-11
107.20008010347549,112.6643893378292,84.01469041848128,83.42369913615293,2023-04-12
107.21862969727349,112.66015254891883,84.00960655359194,83.45111526009585,2023-04-13
107.17797662096959,112.60785538059392,84.00740495351583,83.41328509992627,2023-04-14
107.20250770972106,112.62899450893836,84.02537200945191,83.4352241334809,2023-04-15
107.13266470396356,112.64841613271871,84.00938872702667,83.414603877883,2023-04-16
107.16455652646528,112.64608277442218,84.00195395425435,83.41426250951585,2023-04-17
107.19313948666043,112.65222140311218,84.03256700725368,83.44396274831531,2023-04-18
107.14072561508075,112.60449515035708,83.99157991316409,83.40992435798569,2023-04-19
107.18337691976528,112.65191541604328,84.0081888108786,83.426243702788,2023-04-20
107.18947917881374,112.64667911618798,84.00255802736616,83.43462212187644,2023-04-21
107.17125001302414,112.64361760668339,84.01253070221098,83.42585660550571,2023-04-22
107.18531512204417,112.65715629220682,84.02577667887293,83.4297431464542,2023-04-23
107.18177680271499,112.65198512195771,84.0029227916163,83.43143109766463,2023-04-24
107.14423131821397,112.61524528120329,83.99661056239746,83.41108014954469,2023-04-25
107.16387541405211,112.65805630057869,84.01131490378789,83.43959689767058,2023-04-26
107.18417254562374,112.64227135952187,84.01672870331568,83.43299165496163,2023-04-27
107.1995224928194,112.64331161960781,84.01777508546904,83.42320966130335,2023-04-28
107.1927622833365,112.65684146683135,84.03020554382789,83.42994584595549,2023-04-29
107.1844913176201,112.64820370835797,84.01213244360927,83.42601944723678,2023-04-30
107.17208354046713,112.63260021602744,84.00185010018521,83.4301751483135,2023-05-01
